Date;year;month;monthseq;AP;IPO
01.04.14;2014;4;21;AP 4.0;45,4
01.04.14;2014;4;21;AP 5.1;52,6
01.04.14;2014;4;21;AP 5.2;37,4
01.04.14;2014;4;21;AP 5.3;51,7
01.05.14;2014;5;22;AP 1.0;37,0
01.05.14;2014;5;22;AP 2.1;9,3
01.05.14;2014;5;22;AP 2.2;17,6
01.05.14;2014;5;22;AP 3.1;21,6
01.05.14;2014;5;22;AP 3.2;62,6
01.05.14;2014;5;22;AP 3.3;35,8
01.05.14;2014;5;22;AP 4.0;40,2
01.05.14;2014;5;22;AP 5.1;45,7
01.05.14;2014;5;22;AP 5.2;33,5
01.05.14;2014;5;22;AP 5.3;31,3
01.06.14;2014;6;23;AP 1.0;18,6
01.06.14;2014;6;23;AP 2.1;1,7
01.06.14;2014;6;23;AP 2.2;14,1
01.06.14;2014;6;23;AP 3.1;11,8
01.06.14;2014;6;23;AP 3.2;57,5
01.06.14;2014;6;23;AP 3.3;19,5
01.06.14;2014;6;23;AP 4.0;37,4
01.06.14;2014;6;23;AP 5.1;39,9
01.06.14;2014;6;23;AP 5.2;28,3
01.06.14;2014;6;23;AP 5.3;27,0
01.07.14;2014;7;24;AP 1.0;27,2
01.07.14;2014;7;24;AP 2.1;1,5
01.07.14;2014;7;24;AP 2.2;7,0
01.07.14;2014;7;24;AP 3.1;9,6
01.07.14;2014;7;24;AP 3.2;34,7
01.07.14;2014;7;24;AP 3.3;18,1
01.07.14;2014;7;24;AP 4.0;14,3
01.07.14;2014;7;24;AP 5.1;35,9
01.07.14;2014;7;24;AP 5.2;14,0
01.07.14;2014;7;24;AP 5.3;19,7
01.08.14;2014;8;25;AP 1.0;22,7
01.08.14;2014;8;25;AP 2.1;5,9
01.08.14;2014;8;25;AP 2.2;9,3
01.08.14;2014;8;25;AP 3.1;5,6
01.08.14;2014;8;25;AP 3.2;36,6
01.08.14;2014;8;25;AP 3.3;19,1
01.08.14;2014;8;25;AP 4.0;17,0
01.08.14;2014;8;25;AP 5.1;44,9
01.08.14;2014;8;25;AP 5.2;10,2
01.08.14;2014;8;25;AP 5.3;22,5
01.09.14;2014;9;26;AP 1.0;13,7
01.09.14;2014;9;26;AP 2.1;4,7
01.09.14;2014;9;26;AP 2.2;5,2
01.09.14;2014;9;26;AP 3.1;8,8
01.09.14;2014;9;26;AP 3.2;34,7
01.09.14;2014;9;26;AP 3.3;12,1
01.09.14;2014;9;26;AP 4.0;22,4
01.09.14;2014;9;26;AP 5.1;43,1
01.09.14;2014;9;26;AP 5.2;11,6
01.09.14;2014;9;26;AP 5.3;17,0
01.10.14;2014;10;27;AP 1.0;0,0
01.10.14;2014;10;27;AP 2.1;0,0
01.10.14;2014;10;27;AP 2.2;0,0
01.10.14;2014;10;27;AP 3.1;0,0
01.10.14;2014;10;27;AP 3.2;0,0
01.10.14;2014;10;27;AP 3.3;0,0
01.10.14;2014;10;27;AP 4.0;0,0
01.10.14;2014;10;27;AP 5.1;0,0
01.10.14;2014;10;27;AP 5.2;0,0
01.10.14;2014;10;27;AP 5.3;0,0
01.11.14;2014;11;28;AP 1.0;16,4
01.11.14;2014;11;28;AP 2.1;4,7
01.11.14;2014;11;28;AP 2.2;12,9
01.11.14;2014;11;28;AP 3.1;19,2
01.11.14;2014;11;28;AP 3.2;59,0
01.11.14;2014;11;28;AP 3.3;17,2
01.11.14;2014;11;28;AP 4.0;43,5
01.11.14;2014;11;28;AP 5.1;56,8
01.11.14;2014;11;28;AP 5.2;14,6
01.11.14;2014;11;28;AP 5.3;26,5
01.12.14;2014;12;29;AP 1.0;34,2
01.12.14;2014;12;29;AP 2.1;3,9
01.12.14;2014;12;29;AP 2.2;17,3
01.12.14;2014;12;29;AP 3.1;27,1
01.12.14;2014;12;29;AP 3.2;63,7
01.12.14;2014;12;29;AP 3.3;28,5
01.12.14;2014;12;29;AP 4.0;33,9
01.12.14;2014;12;29;AP 5.1;49,2
01.12.14;2014;12;29;AP 5.2;28,7
01.12.14;2014;12;29;AP 5.3;36,7
01.01.15;2015;1;30;AP 1.0;38,7
01.01.15;2015;1;30;AP 2.1;2,7
01.01.15;2015;1;30;AP 2.2;9,0
01.01.15;2015;1;30;AP 3.1;28,2
01.01.15;2015;1;30;AP 3.2;36,1
01.01.15;2015;1;30;AP 3.3;23,0
01.01.15;2015;1;30;AP 4.0;24,0
01.01.15;2015;1;30;AP 5.1;40,3
01.01.15;2015;1;30;AP 5.2;26,4
01.01.15;2015;1;30;AP 5.3;35,3
01.02.15;2015;2;31;AP 1.0;0,0
01.02.15;2015;2;31;AP 2.1;0,0
01.02.15;2015;2;31;AP 2.2;0,0
01.02.15;2015;2;31;AP 3.1;0,0
01.02.15;2015;2;31;AP 3.2;0,0
01.02.15;2015;2;31;AP 3.3;0,0
01.02.15;2015;2;31;AP 4.0;0,0
01.02.15;2015;2;31;AP 5.1;0,0
01.02.15;2015;2;31;AP 5.2;0,0
