"";"Município";"Código";"ICAO"
"140";"CORONEL FREITAS";4204400;"SBPF"
"141";"CORONEL MARTINS";4204459;"SBCH"
"142";"CORREIA PINTO";4204558;"SBCN"
"143";"CORREIA PINTO";4204558;"SBLJ"
"144";"CORUPÁ";4204509;"SBJV"
"145";"CORUPÁ";4204509;"SBNF"
"146";"CRICIÚMA";4204608;"SBCN"
"147";"CRICIÚMA";4204608;"SBTR"
"148";"CUNHA PORÃ";4204707;"SBCH"
"149";"CUNHA PORÃ";4204707;"SBNM"
"150";"CUNHATAÍ";4204756;"SBCH"
"151";"CUNHATAÍ";4204756;"SBNM"
"152";"CURITIBANOS";4204806;"SBCN"
"153";"CURITIBANOS";4204806;"SBLJ"
"154";"DESCANSO";4204905;"SBFI"
"155";"DESCANSO";4204905;"SBCH"
"156";"DIONÍSIO CERQUEIRA";4205001;"SBFI"
"157";"DIONÍSIO CERQUEIRA";4205001;"SBCH"
"158";"DONA EMMA";4205100;"SBNF"
"159";"DONA EMMA";4205100;"SBLJ"
"160";"DOUTOR PEDRINHO";4205159;"SBJV"
"161";"DOUTOR PEDRINHO";4205159;"SBNF"
"162";"ENTRE RIOS";4205175;"SBCH"
"163";"ENTRE RIOS";4205175;"SBPF"
"164";"ERMO";4205191;"SBCN"
"165";"ERMO";4205191;"SBTR"
"166";"ERVAL VELHO";4205209;"SBCH"
"167";"ERVAL VELHO";4205209;"SBLJ"
"168";"FAXINAL DOS GUEDES";4205308;"SBCH"
"169";"FAXINAL DOS GUEDES";4205308;"SBPF"
"170";"FLOR DO SERTÃO";4205357;"SBFI"
"171";"FLOR DO SERTÃO";4205357;"SBCH"
"172";"FLORIANÓPOLIS";4205407;"SBFL"
"173";"FLORIANÓPOLIS";4205407;"SBNF"
"174";"FORMOSA DO SUL";4205431;"SBCH"
"175";"FORMOSA DO SUL";4205431;"SBPF"
"176";"FORQUILHINHA";4205456;"SBCN"
"177";"FORQUILHINHA";4205456;"SBTR"
"178";"FRAIBURGO";4205506;"SBCH"
"179";"FRAIBURGO";4205506;"SBLJ"
"180";"FREI ROGÉRIO";4205555;"SBCH"
"181";"FREI ROGÉRIO";4205555;"SBLJ"
"182";"GALVÃO";4205605;"SBCH"
"183";"GAROPABA";4205704;"SBFL"
"184";"GAROPABA";4205704;"SBNF"
"185";"GARUVA";4205803;"SBJV"
"186";"GARUVA";4205803;"SBCT"
"187";"GASPAR";4205902;"SBJV"
"188";"GASPAR";4205902;"SBNF"
"189";"GOVERNADOR CELSO RAMOS";4206009;"SBFL"
"190";"GOVERNADOR CELSO RAMOS";4206009;"SBNF"
"191";"GRÃO PARÁ";4206108;"SBFL"
"192";"GRÃO PARÁ";4206108;"SBCN"
"193";"GRAVATAL";4206207;"SBFL"
"194";"GRAVATAL";4206207;"SBCN"
"195";"GUABIRUBA";4206306;"SBFL"
"196";"GUABIRUBA";4206306;"SBNF"
"197";"GUARACIABA";4206405;"SBFI"
"198";"GUARACIABA";4206405;"SBCH"
"199";"GUARAMIRIM";4206504;"SBJV"
"200";"GUARAMIRIM";4206504;"SBNF"
"201";"GUARUJÁ DO SUL";4206603;"SBFI"
"202";"GUARUJÁ DO SUL";4206603;"SBCH"
"203";"GUATAMBÚ";4206652;"SBCH"
"204";"GUATAMBÚ";4206652;"SBPF"
"205";"HERVAL D'OESTE";4206702;"SBCH"
"206";"HERVAL D'OESTE";4206702;"SBLJ"
"207";"IBIAM";4206751;"SBCH"
"208";"IBIAM";4206751;"SBLJ"
"209";"IBICARÉ";4206801;"SBCH"
"210";"IBICARÉ";4206801;"SBLJ"
"211";"IBIRAMA";4206900;"SBNF"
"212";"IBIRAMA";4206900;"SBLJ"
"213";"IÇARA";4207007;"SBCN"
"214";"IÇARA";4207007;"SBTR"
"215";"ILHOTA";4207106;"SBJV"
"216";"ILHOTA";4207106;"SBNF"
"217";"IMARUÍ";4207205;"SBFL"
"218";"IMARUÍ";4207205;"SBCN"
"219";"IMBITUBA";4207304;"SBFL"
"220";"IMBITUBA";4207304;"SBCN"
"221";"IMBUIA";4207403;"SBFL"
"222";"IMBUIA";4207403;"SBLJ"
"223";"INDAIAL";4207502;"SBJV"
"224";"INDAIAL";4207502;"SBNF"
"225";"IOMERÊ";4207577;"SBCH"
"226";"IOMERÊ";4207577;"SBLJ"
"227";"IPIRA";4207601;"SBCH"
"228";"IPIRA";4207601;"SBPF"
"229";"IPORÃ DO OESTE";4207650;"SBFI"
"230";"IPORÃ DO OESTE";4207650;"SBCH"
"231";"IPUAÇU";4207684;"SBCH"
"232";"IPUMIRIM";4207700;"SBCH"
"233";"IPUMIRIM";4207700;"SBPF"
"234";"IRACEMINHA";4207759;"SBFI"
"235";"IRACEMINHA";4207759;"SBCH"
"236";"IRANI";4207809;"SBCH"
"237";"IRANI";4207809;"SBPF"
"238";"IRATI";4207858;"SBCH"
"239";"IRATI";4207858;"SBPF"
"240";"IRINEÓPOLIS";4207908;"SBGS"
"241";"ITÁ";4208005;"SBCH"
"242";"ITÁ";4208005;"SBPF"
"243";"ITAIÓPOLIS";4208104;"SBJV"
"244";"ITAIÓPOLIS";4208104;"SBCT"
"245";"ITAJAÍ";4208203;"SBFL"
"246";"ITAJAÍ";4208203;"SBNF"
"247";"ITAPEMA";4208302;"SBFL"
"248";"ITAPEMA";4208302;"SBNF"
"249";"ITAPIRANGA";4208401;"SBCH"
"250";"ITAPIRANGA";4208401;"SBNM"
"251";"ITAPOÁ";4208450;"SBJV"
"252";"ITAPOÁ";4208450;"SBCT"
"253";"ITUPORANGA";4208500;"SBFL"
"254";"ITUPORANGA";4208500;"SBLJ"
"255";"JABORÁ";4208609;"SBCH"
"256";"JABORÁ";4208609;"SBPF"
"257";"JACINTO MACHADO";4208708;"SBCN"
"258";"JACINTO MACHADO";4208708;"SBTR"
"259";"JAGUARUNA";4208807;"SBCN"
"260";"JAGUARUNA";4208807;"SBTR"
"261";"JARAGUÁ DO SUL";4208906;"SBJV"
"262";"JARAGUÁ DO SUL";4208906;"SBNF"
"263";"JARDINÓPOLIS";4208955;"SBCH"
"264";"JARDINÓPOLIS";4208955;"SBPF"
"265";"JOAÇABA";4209003;"SBCH"
"266";"JOAÇABA";4209003;"SBPF"
"267";"JOINVILLE";4209102;"SBJV"
"268";"JOINVILLE";4209102;"SBNF"
"269";"JOSÉ BOITEUX";4209151;"SBJV"
"270";"JOSÉ BOITEUX";4209151;"SBNF"
"271";"JUPIÁ";4209177;"SBCH"
"272";"JUPIÁ";4209177;"SBCA"
"273";"LACERDÓPOLIS";4209201;"SBCH"
"274";"LACERDÓPOLIS";4209201;"SBPF"
"275";"LAGES";4209300;"SBCN"
"276";"LAGES";4209300;"SBLJ"
"277";"LAGUNA";4209409;"SBFL"
"278";"LAGUNA";4209409;"SBCN"
"279";"LAJEADO GRANDE";4209458;"SBCH"
"280";"LAJEADO GRANDE";4209458;"SBPF"
"281";"LAURENTINO";4209508;"SBNF"
"282";"LAURENTINO";4209508;"SBLJ"
"283";"LAURO MULLER";4209607;"SBCN"
"284";"LAURO MULLER";4209607;"SBLJ"
"285";"LEBON RÉGIS";4209706;"SBLJ"
"286";"LEOBERTO LEAL";4209805;"SBFL"
"287";"LEOBERTO LEAL";4209805;"SBNF"
"288";"LINDÓIA DO SUL";4209854;"SBCH"
"289";"LINDÓIA DO SUL";4209854;"SBPF"
"290";"LONTRAS";4209904;"SBNF"
"291";"LONTRAS";4209904;"SBLJ"
"292";"LUIZ ALVES";4210001;"SBJV"
"293";"LUIZ ALVES";4210001;"SBNF"
"294";"LUZERNA";4210035;"SBCH"
"295";"LUZERNA";4210035;"SBLJ"
"296";"MACIEIRA";4210050;"SBCH"
"297";"MACIEIRA";4210050;"SBLJ"
"298";"MAFRA";4210100;"SBJV"
"299";"MAFRA";4210100;"SBBI"
"300";"MAJOR GERCINO";4210209;"SBFL"
"301";"MAJOR GERCINO";4210209;"SBNF"
"302";"MAJOR VIEIRA";4210308;"SBLJ"
"303";"MAJOR VIEIRA";4210308;"SBGS"
"304";"MARACAJÁ";4210407;"SBCN"
"305";"MARACAJÁ";4210407;"SBTR"
"306";"MARAVILHA";4210506;"SBFI"
"307";"MARAVILHA";4210506;"SBCH"
"308";"MAREMA";4210555;"SBCH"
"309";"MAREMA";4210555;"SBPF"
"310";"MASSARANDUBA";4210605;"SBJV"
"311";"MASSARANDUBA";4210605;"SBNF"
"312";"MATOS COSTA";4210704;"SBLJ"
"313";"MELEIRO";4210803;"SBCN"
"314";"MELEIRO";4210803;"SBTR"
"315";"MIRIM DOCE";4210852;"SBNF"
"316";"MIRIM DOCE";4210852;"SBLJ"
"317";"MODELO";4210902;"SBFI"
"318";"MODELO";4210902;"SBCH"
"319";"MONDAÍ";4211009;"SBCH"
"320";"MONDAÍ";4211009;"SBNM"
"321";"MONTE CARLO";4211058;"SBCH"
"322";"MONTE CARLO";4211058;"SBLJ"
"323";"MONTE CASTELO";4211108;"SBJV"
"324";"MONTE CASTELO";4211108;"SBLJ"
"325";"MORRO DA FUMAÇA";4211207;"SBCN"
"326";"MORRO DA FUMAÇA";4211207;"SBTR"
"327";"MORRO GRANDE";4211256;"SBCN"
"328";"MORRO GRANDE";4211256;"SBTR"
"329";"NAVEGANTES";4211306;"SBJV"
"330";"NAVEGANTES";4211306;"SBNF"
"331";"NOVA ERECHIM";4211405;"SBCH"
"332";"NOVA ERECHIM";4211405;"SBNM"
"333";"NOVA ITABERABA";4211454;"SBCH"
"334";"NOVA ITABERABA";4211454;"SBPF"
"335";"NOVA TRENTO";4211504;"SBFL"
"336";"NOVA TRENTO";4211504;"SBNF"
"337";"NOVA VENEZA";4211603;"SBCN"
"338";"NOVA VENEZA";4211603;"SBTR"
"339";"NOVO HORIZONTE";4211652;"SBCH"
"340";"NOVO HORIZONTE";4211652;"SBCA"
"341";"ORLEANS";4211702;"SBCN"
"342";"ORLEANS";4211702;"SBLJ"
"343";"OTACÍLIO COSTA";4211751;"SBLJ"
"344";"OURO";4211801;"SBCH"
"345";"OURO";4211801;"SBPF"
"346";"OURO VERDE";4211850;"SBCH"
"347";"PAIAL";4211876;"SBCH"
"348";"PAIAL";4211876;"SBPF"
"349";"PAINEL";4211892;"SBCN"
"350";"PAINEL";4211892;"SBLJ"
"351";"PALHOÇA";4211900;"SBFL"
"352";"PALHOÇA";4211900;"SBNF"
"353";"PALMA SOLA";4212007;"SBFI"
"354";"PALMA SOLA";4212007;"SBCH"
"355";"PALMEIRA";4212056;"SBCN"
"356";"PALMEIRA";4212056;"SBLJ"
"357";"PALMITOS";4212106;"SBCH"
"358";"PALMITOS";4212106;"SBNM"
"359";"PAPANDUVA";4212205;"SBJV"
"360";"PAPANDUVA";4212205;"SBLJ"
"361";"PARAÍSO";4212239;"SBFI"
"362";"PARAÍSO";4212239;"SBCH"
"363";"PASSO DE TORRES";4212254;"SBCN"
"364";"PASSO DE TORRES";4212254;"SBTR"
"365";"PASSOS MAIA";4212270;"SBCH"
"366";"PAULO LOPES";4212304;"SBFL"
"367";"PAULO LOPES";4212304;"SBCN"
"368";"PEDRAS GRANDES";4212403;"SBCN"
"369";"PEDRAS GRANDES";4212403;"SBTR"
"370";"PENHA";4212502;"SBJV"
"371";"PENHA";4212502;"SBNF"
"372";"PERITIBA";4212601;"SBCH"
"373";"PERITIBA";4212601;"SBPF"
"374";"PESCARIA BRAVA";4212650;"SBFL"
"375";"PESCARIA BRAVA";4212650;"SBCN"
"376";"PETROLÂNDIA";4212700;"SBFL"
"377";"PETROLÂNDIA";4212700;"SBLJ"
"378";"PINHALZINHO";4212908;"SBCH"
"379";"PINHALZINHO";4212908;"SBNM"
"380";"PINHEIRO PRETO";4213005;"SBCH"
"381";"PINHEIRO PRETO";4213005;"SBLJ"
"382";"PIRATUBA";4213104;"SBCH"
"383";"PIRATUBA";4213104;"SBPF"
"384";"PLANALTO ALEGRE";4213153;"SBCH"
"385";"PLANALTO ALEGRE";4213153;"SBPF"
"386";"POMERODE";4213203;"SBJV"
"387";"POMERODE";4213203;"SBNF"
"388";"PONTE ALTA";4213302;"SBCN"
"389";"PONTE ALTA";4213302;"SBLJ"
"390";"PONTE ALTA DO NORTE";4213351;"SBNF"
"391";"PONTE ALTA DO NORTE";4213351;"SBLJ"
"392";"PONTE SERRADA";4213401;"SBCH"
"393";"PONTE SERRADA";4213401;"SBPF"
"394";"PORTO BELO";4213500;"SBFL"
"395";"PORTO BELO";4213500;"SBNF"
"396";"PORTO UNIÃO";4213609;"SBGS"
"397";"POUSO REDONDO";4213708;"SBNF"
"398";"POUSO REDONDO";4213708;"SBLJ"
"399";"PRAIA GRANDE";4213807;"SBCN"
"400";"PRAIA GRANDE";4213807;"SBTR"
"401";"PRESIDENTE CASTELLO BRANCO";4213906;"SBCH"
"402";"PRESIDENTE CASTELLO BRANCO";4213906;"SBPF"
"403";"PRESIDENTE GETÚLIO";4214003;"SBNF"
"404";"PRESIDENTE GETÚLIO";4214003;"SBLJ"
"405";"PRESIDENTE NEREU";4214102;"SBFL"
"406";"PRESIDENTE NEREU";4214102;"SBNF"
"407";"PRINCESA";4214151;"SBFI"
"408";"PRINCESA";4214151;"SBCH"
"409";"QUILOMBO";4214201;"SBCH"
"410";"QUILOMBO";4214201;"SBPF"
"411";"RANCHO QUEIMADO";4214300;"SBFL"
"412";"RANCHO QUEIMADO";4214300;"SBNF"
"413";"RIO DAS ANTAS";4214409;"SBCH"
"414";"RIO DAS ANTAS";4214409;"SBLJ"
"415";"RIO DO CAMPO";4214508;"SBNF"
"416";"RIO DO CAMPO";4214508;"SBLJ"
"417";"RIO DO OESTE";4214607;"SBNF"
"418";"RIO DO OESTE";4214607;"SBLJ"
"419";"RIO DO SUL";4214805;"SBNF"
"420";"RIO DO SUL";4214805;"SBLJ"
"421";"RIO DOS CEDROS";4214706;"SBJV"
"422";"RIO DOS CEDROS";4214706;"SBNF"
"423";"RIO FORTUNA";4214904;"SBFL"
"424";"RIO FORTUNA";4214904;"SBCN"
"425";"RIO NEGRINHO";4215000;"SBJV"
"426";"RIO NEGRINHO";4215000;"SBNF"
"427";"RIO RUFINO";4215059;"SBCN"
"428";"RIO RUFINO";4215059;"SBLJ"
"429";"RIQUEZA";4215075;"SBCH"
"430";"RIQUEZA";4215075;"SBNM"
"431";"RODEIO";4215109;"SBFL"
"432";"RODEIO";4215109;"SBNF"
"433";"ROMELÂNDIA";4215208;"SBFI"
"434";"ROMELÂNDIA";4215208;"SBCH"
"435";"SALETE";4215307;"SBNF"
"436";"SALETE";4215307;"SBLJ"
"437";"SALTINHO";4215356;"SBFI"
"438";"SALTINHO";4215356;"SBCH"
"439";"SALTO VELOSO";4215406;"SBCH"
"440";"SALTO VELOSO";4215406;"SBLJ"
"441";"SANGÃO";4215455;"SBCN"
"442";"SANGÃO";4215455;"SBTR"
"443";"SANTA CECÍLIA";4215505;"SBNF"
"444";"SANTA CECÍLIA";4215505;"SBLJ"
"445";"SANTA HELENA";4215554;"SBFI"
"446";"SANTA HELENA";4215554;"SBCH"
"447";"SANTA ROSA DE LIMA";4215604;"SBFL"
"448";"SANTA ROSA DE LIMA";4215604;"SBCN"
"449";"SANTA ROSA DO SUL";4215653;"SBCN"
"450";"SANTA ROSA DO SUL";4215653;"SBTR"
"451";"SANTA TEREZINHA";4215679;"SBJV"
"452";"SANTA TEREZINHA";4215679;"SBLJ"
"453";"SANTA TEREZINHA DO PROGRESSO";4215687;"SBFI"
"454";"SANTA TEREZINHA DO PROGRESSO";4215687;"SBCH"
"455";"SANTIAGO DO SUL";4215695;"SBCH"
"456";"SANTO AMARO DA IMPERATRIZ";4215703;"SBFL"
"457";"SANTO AMARO DA IMPERATRIZ";4215703;"SBNF"
"458";"SÃO BENTO DO SUL";4215802;"SBJV"
"459";"SÃO BENTO DO SUL";4215802;"SBNF"
"460";"SÃO BERNARDINO";4215752;"SBFI"
"461";"SÃO BERNARDINO";4215752;"SBCH"
"462";"SÃO BONIFÁCIO";4215901;"SBFL"
"463";"SÃO BONIFÁCIO";4215901;"SBCN"
"464";"SÃO CARLOS";4216008;"SBCH"
"465";"SÃO CARLOS";4216008;"SBNM"
"466";"SÃO CRISTOVÃO DO SUL";4216057;"SBNF"
"467";"SÃO CRISTOVÃO DO SUL";4216057;"SBLJ"
"468";"SÃO DOMINGOS";4216107;"SBCH"
"469";"SÃO FRANCISCO DO SUL";4216206;"SBJV"
"470";"SÃO FRANCISCO DO SUL";4216206;"SBNF"
"471";"SÃO JOÃO BATISTA";4216305;"SBFL"
"472";"SÃO JOÃO BATISTA";4216305;"SBNF"
"473";"SÃO JOÃO DO ITAPERIÚ";4216354;"SBJV"
"474";"SÃO JOÃO DO ITAPERIÚ";4216354;"SBNF"
"475";"SÃO JOÃO DO OESTE";4216255;"SBCH"
"476";"SÃO JOÃO DO OESTE";4216255;"SBNM"
"477";"SÃO JOÃO DO SUL";4216404;"SBCN"
"478";"SÃO JOÃO DO SUL";4216404;"SBTR"
"479";"SÃO JOAQUIM";4216503;"SBCN"
"480";"SÃO JOAQUIM";4216503;"SBLJ"
"481";"SÃO JOSÉ";4216602;"SBFL"
"482";"SÃO JOSÉ";4216602;"SBNF"
"483";"SÃO JOSÉ DO CEDRO";4216701;"SBFI"
"484";"SÃO JOSÉ DO CEDRO";4216701;"SBCH"
"485";"SÃO JOSÉ DO CERRITO";4216800;"SBCN"
"486";"SÃO JOSÉ DO CERRITO";4216800;"SBLJ"
"487";"SÃO LOURENÇO DO OESTE";4216909;"SBCH"
"488";"SÃO LOURENÇO DO OESTE";4216909;"SBCA"
"489";"SÃO LUDGERO";4217006;"SBFL"
"490";"SÃO LUDGERO";4217006;"SBCN"
"491";"SÃO MARTINHO";4217105;"SBFL"
"492";"SÃO MARTINHO";4217105;"SBCN"
"493";"SÃO MIGUEL DA BOA VISTA";4217154;"SBFI"
"494";"SÃO MIGUEL DA BOA VISTA";4217154;"SBCH"
"495";"SÃO MIGUEL DO OESTE";4217204;"SBFI"
"496";"SÃO MIGUEL DO OESTE";4217204;"SBCH"
"497";"SÃO PEDRO DE ALCÂNTARA";4217253;"SBFL"
"498";"SÃO PEDRO DE ALCÂNTARA";4217253;"SBNF"
"499";"SAUDADES";4217303;"SBCH"
