"";"Município";"Código";"ICAO"
"132";"JUCURUTU";2406106;"SBNT"
"133";"JUNDIÁ";2406155;"SBKG"
"134";"JUNDIÁ";2406155;"SBNT"
"135";"LAGOA D'ANTA";2406205;"SBKG"
"136";"LAGOA D'ANTA";2406205;"SBNT"
"137";"LAGOA DE PEDRAS";2406304;"SBKG"
"138";"LAGOA DE PEDRAS";2406304;"SBNT"
"139";"LAGOA DE VELHOS";2406403;"SBKG"
"140";"LAGOA DE VELHOS";2406403;"SBNT"
"141";"LAGOA NOVA";2406502;"SBKG"
"142";"LAGOA NOVA";2406502;"SBNT"
"143";"LAGOA SALGADA";2406601;"SBKG"
"144";"LAGOA SALGADA";2406601;"SBNT"
"145";"LAJES";2406700;"SBKG"
"146";"LAJES";2406700;"SBNT"
"147";"LAJES PINTADAS";2406809;"SBKG"
"148";"LAJES PINTADAS";2406809;"SBNT"
"149";"LUCRÉCIA";2406908;"SBKG"
"150";"LUCRÉCIA";2406908;"SBJU"
"151";"LUÍS GOMES";2407005;"SBFZ"
"152";"LUÍS GOMES";2407005;"SBJU"
"153";"MACAÍBA";2407104;"SBKG"
"154";"MACAÍBA";2407104;"SBNT"
"155";"MACAU";2407203;"SBKG"
"156";"MACAU";2407203;"SBNT"
"157";"MAJOR SALES";2407252;"SBKG"
"158";"MAJOR SALES";2407252;"SBJU"
"159";"MARCELINO VIEIRA";2407302;"SBKG"
"160";"MARCELINO VIEIRA";2407302;"SBJU"
"161";"MARTINS";2407401;"SBKG"
"162";"MARTINS";2407401;"SBJU"
"163";"MAXARANGUAPE";2407500;"SBKG"
"164";"MAXARANGUAPE";2407500;"SBNT"
"165";"MESSIAS TARGINO";2407609;"SBKG"
"166";"MESSIAS TARGINO";2407609;"SBJU"
"167";"MONTANHAS";2407708;"SBKG"
"168";"MONTANHAS";2407708;"SBNT"
"169";"MONTE ALEGRE";2407807;"SBKG"
"170";"MONTE ALEGRE";2407807;"SBNT"
"171";"MONTE DAS GAMELEIRAS";2407906;"SBKG"
"172";"MONTE DAS GAMELEIRAS";2407906;"SBNT"
"173";"MOSSORÓ";2408003;"SBFZ"
"174";"MOSSORÓ";2408003;"SBNT"
"175";"NATAL";2408102;"SBKG"
"176";"NATAL";2408102;"SBNT"
"177";"NÍSIA FLORESTA";2408201;"SBKG"
"178";"NÍSIA FLORESTA";2408201;"SBNT"
"179";"NOVA CRUZ";2408300;"SBKG"
"180";"NOVA CRUZ";2408300;"SBNT"
"181";"OLHO-D'ÁGUA DO BORGES";2408409;"SBKG"
"182";"OLHO-D'ÁGUA DO BORGES";2408409;"SBJU"
"183";"OURO BRANCO";2408508;"SBKG"
"184";"OURO BRANCO";2408508;"SBNT"
"185";"PARANÁ";2408607;"SBFZ"
"186";"PARANÁ";2408607;"SBJU"
"187";"PARAÚ";2408706;"SBKG"
"188";"PARAÚ";2408706;"SBNT"
"189";"PARAZINHO";2408805;"SBKG"
"190";"PARAZINHO";2408805;"SBNT"
"191";"PARELHAS";2408904;"SBKG"
"192";"PARELHAS";2408904;"SBNT"
"193";"PARNAMIRIM";2403251;"SBKG"
"194";"PARNAMIRIM";2403251;"SBNT"
"195";"PASSA E FICA";2409100;"SBKG"
"196";"PASSA E FICA";2409100;"SBNT"
"197";"PASSAGEM";2409209;"SBKG"
"198";"PASSAGEM";2409209;"SBNT"
