"";"Município";"Código";"ICAO"
"103";"CAXIAS";2103000;"SBSL"
"104";"CAXIAS";2103000;"SBTE"
"105";"CEDRAL";2103109;"SBSL"
"106";"CEDRAL";2103109;"SBPB"
"107";"CENTRAL DO MARANHÃO";2103125;"SBSL"
"108";"CENTRAL DO MARANHÃO";2103125;"SBPB"
"109";"CENTRO DO GUILHERME";2103158;"SBSL"
"110";"CENTRO DO GUILHERME";2103158;"SBBE"
"111";"CENTRO NOVO DO MARANHÃO";2103174;"SBSL"
"112";"CENTRO NOVO DO MARANHÃO";2103174;"SBBE"
"113";"CHAPADINHA";2103208;"SBSL"
"114";"CHAPADINHA";2103208;"SBTE"
"115";"CIDELÂNDIA";2103257;"SBMA"
"116";"CIDELÂNDIA";2103257;"SBIZ"
"117";"CODÓ";2103307;"SBSL"
"118";"CODÓ";2103307;"SBTE"
"119";"COELHO NETO";2103406;"SBSL"
"120";"COELHO NETO";2103406;"SBTE"
"121";"COLINAS";2103505;"SBTE"
"122";"COLINAS";2103505;"SBIZ"
"123";"CONCEIÇÃO DO LAGO-AÇU";2103554;"SBSL"
"124";"CONCEIÇÃO DO LAGO-AÇU";2103554;"SBTE"
"125";"COROATÁ";2103604;"SBSL"
"126";"COROATÁ";2103604;"SBTE"
"127";"CURURUPU";2103703;"SBSL"
"128";"CURURUPU";2103703;"SBPB"
"129";"DAVINÓPOLIS";2103752;"SBMA"
"130";"DAVINÓPOLIS";2103752;"SBIZ"
"131";"DOM PEDRO";2103802;"SBSL"
"132";"DOM PEDRO";2103802;"SBTE"
"133";"DUQUE BACELAR";2103901;"SBSL"
"134";"DUQUE BACELAR";2103901;"SBTE"
"135";"ESPERANTINÓPOLIS";2104008;"SBSL"
"136";"ESPERANTINÓPOLIS";2104008;"SBTE"
"137";"ESTREITO";2104057;"SBMA"
"138";"ESTREITO";2104057;"SBIZ"
"139";"FEIRA NOVA DO MARANHÃO";2104073;"SBMA"
"140";"FEIRA NOVA DO MARANHÃO";2104073;"SBIZ"
"141";"FERNANDO FALCÃO";2104081;"SBIZ"
"142";"FERNANDO FALCÃO";2104081;"SBCI"
"143";"FORMOSA DA SERRA NEGRA";2104099;"SBIZ"
"144";"FORMOSA DA SERRA NEGRA";2104099;"SBCI"
"145";"FORTALEZA DOS NOGUEIRAS";2104107;"SBIZ"
"146";"FORTALEZA DOS NOGUEIRAS";2104107;"SBCI"
"147";"FORTUNA";2104206;"SBSL"
"148";"FORTUNA";2104206;"SBTE"
"149";"GODOFREDO VIANA";2104305;"SBSL"
"150";"GODOFREDO VIANA";2104305;"SBBE"
"151";"GONÇALVES DIAS";2104404;"SBSL"
"152";"GONÇALVES DIAS";2104404;"SBTE"
