"","estacao_id","latitude","longitude","nome","data_dia","temp_min","umid_max"
"99","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-09-13,22,83.1077
"100","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-09-12,25,73.9706
"101","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-09-18,24,73.6329
"102","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-11-17,25,83.4526
"103","SBIZ",-5.52,-47.45,"IMPERATRIZ",2018-11-27,24,100
"104","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-02-15,27,78.7807
"105","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2019-06-30,25,88.6796
"106","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-09-13,24,73.6329
"107","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-09-13,23,83.2238
"108","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-09-17,28,54.5838
"109","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-09-17,25,73.9706
"110","SBMA",-5.37,-49.13,"MARABA",2019-12-04,25,100
"111","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-12-14,24,100
"112","SBMA",-5.37,-49.13,"MARABA",2019-12-28,26,100
"113","SBIZ",-5.52,-47.45,"IMPERATRIZ",2018-09-09,24,88.5993
"114","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-08-05,20,88.27
"115","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-20,22,88.4364
"116","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-28,21,88.4364
"117","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-09-16,24,83.4526
"118","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2018-10-26,26,83.677
"119","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-08-04,24,73.8025
"120","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-22,24,88.6796
"121","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-27,20,88.3537
"122","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-29,21,88.4364
"123","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2018-01-04,22,100
"124","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2019-07-01,24,94.1486
"125","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-07-08,28,78.9203
"126","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-08-20,27,78.7807
"127","SBMA",-5.37,-49.13,"MARABA",2019-09-01,25,88.6796
"128","SBMA",-5.37,-49.13,"MARABA",2019-11-06,25,94.191
"129","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-12-14,24,73.6329
"130","SBMA",-5.37,-49.13,"MARABA",2018-11-26,25,100
"131","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2018-01-04,26,88.7589
"132","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-02-16,23,100
"133","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-08-21,20,64.2872
"134","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-10-08,24,88.5993
"135","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-12-19,31,66.5822
"136","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-05-28,25,65.3558
"137","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-13,23,94.1058
"138","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-12,23,94.1486
"139","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-11,23,94.1486
"140","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-10,23,94.191
"141","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-09,22,94.1058
"142","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-08,24,94.1486
"143","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-07,24,94.1486
"144","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-06,23,94.1486
"145","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-05,23,94.1486
"146","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-04,22,100
"147","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-03,23,94.1486
"148","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-02,24,94.1486
"149","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-08-01,24,88.5993
"150","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-31,23,94.1486
"151","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-30,24,94.191
"152","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-29,24,94.191
"153","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-28,24,94.1486
"154","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-27,25,94.191
"155","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-26,24,94.191
"156","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-25,24,100
"157","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-24,24,94.191
"158","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-23,24,94.1486
"159","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-22,24,94.1486
"160","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-21,24,88.6796
"161","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-20,24,94.1486
"162","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-19,23,94.1058
"163","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-18,24,94.1486
"164","SBBE",-1.37,-48.47,"BELEM (AEROPORTO)",2018-07-17,24,94.191
"165","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-09-08,24,78.3541
"166","SBIZ",-5.52,-47.45,"IMPERATRIZ",2018-09-10,23,88.5993
"167","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-07-18,28,78.9203
"168","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-07-19,28,69.9228
