"SE","tweets","APS","casos","estacao","x"
201412,92,"AP1",13,"santosdumont",23.8333333333333
201413,63,"AP1",7,"santosdumont",22.7142857142857
201414,65,"AP1",6,"santosdumont",23.6666666666667
201415,76,"AP1",10,"santosdumont",23.1666666666667
201416,62,"AP1",2,"santosdumont",21.8571428571429
201417,64,"AP1",7,"santosdumont",22.4285714285714
201418,107,"AP1",1,"santosdumont",19.6666666666667
201419,159,"AP1",5,"santosdumont",22.1428571428571
201420,114,"AP1",5,"santosdumont",19.5714285714286
201421,92,"AP1",7,"santosdumont",21.8333333333333
201422,80,"AP1",2,"santosdumont",20.1428571428571
201423,55,"AP1",6,"santosdumont",20.7142857142857
201424,62,"AP1",5,"santosdumont",21.7142857142857
201425,63,"AP1",4,"santosdumont",20
201426,80,"AP1",6,"santosdumont",19.1428571428571
201427,49,"AP1",4,"santosdumont",20.4285714285714
201428,62,"AP1",4,"santosdumont",19.8571428571429
201429,55,"AP1",2,"santosdumont",19.1428571428571
201430,60,"AP1",1,"santosdumont",19.2857142857143
201431,64,"AP1",2,"santosdumont",18.4285714285714
201432,64,"AP1",1,"santosdumont",18.5714285714286
201433,42,"AP1",7,"santosdumont",18.7142857142857
201434,47,"AP1",0,"santosdumont",19.7142857142857
201435,81,"AP1",0,"santosdumont",20
201436,46,"AP1",1,"santosdumont",19.5714285714286
201437,45,"AP1",2,"santosdumont",20
201438,57,"AP1",1,"santosdumont",20.6
201439,80,"AP1",3,"santosdumont",20.5
201440,65,"AP1",3,"santosdumont",20.3333333333333
201441,143,"AP1",5,"santosdumont",19.4285714285714
201442,105,"AP1",0,"santosdumont",20.4285714285714
201443,88,"AP1",1,"santosdumont",20.7142857142857
201444,58,"AP1",0,"santosdumont",22.2857142857143
201445,58,"AP1",0,"santosdumont",22
201001,NA,"AP2.1",9,"santosdumont",25.4285714285714
201002,NA,"AP2.1",9,"santosdumont",25.2857142857143
201003,NA,"AP2.1",7,"santosdumont",24.2857142857143
201004,NA,"AP2.1",8,"santosdumont",24.1666666666667
201005,NA,"AP2.1",9,"santosdumont",25.4285714285714
201006,NA,"AP2.1",7,"santosdumont",25.7142857142857
201007,NA,"AP2.1",16,"santosdumont",24.4285714285714
201008,NA,"AP2.1",12,"santosdumont",24.5714285714286
201009,NA,"AP2.1",15,"santosdumont",22.1428571428571
201010,NA,"AP2.1",7,"santosdumont",24.8571428571429
201011,NA,"AP2.1",11,"santosdumont",23.8571428571429
201012,NA,"AP2.1",17,"santosdumont",25.8571428571429
201013,NA,"AP2.1",11,"santosdumont",24.1428571428571
201014,NA,"AP2.1",8,"santosdumont",21.2857142857143
201015,NA,"AP2.1",11,"santosdumont",21.7142857142857
201016,NA,"AP2.1",15,"santosdumont",24.4285714285714
201017,NA,"AP2.1",12,"santosdumont",22.5714285714286
201018,NA,"AP2.1",13,"santosdumont",22.8571428571429
201019,NA,"AP2.1",13,"santosdumont",20.7142857142857
201020,NA,"AP2.1",25,"santosdumont",21.2857142857143
201021,NA,"AP2.1",9,"santosdumont",21.2857142857143
201022,NA,"AP2.1",11,"santosdumont",19.7142857142857
201023,NA,"AP2.1",4,"santosdumont",18.4285714285714
201024,NA,"AP2.1",10,"santosdumont",17.8571428571429
201025,NA,"AP2.1",3,"santosdumont",19.2857142857143
201026,NA,"AP2.1",7,"santosdumont",19.7142857142857
201027,NA,"AP2.1",10,"santosdumont",20.1428571428571
201028,NA,"AP2.1",9,"santosdumont",21
