"","municipio_geocodigo","inc_preseason","inc_posseason","inc_epidemico","inicio","inicio.ic","duracao","duracao.ic","pop","limiar_preaseason","limiar_posseason","limiar_epidemico","mininc_pre","mininc_pos","mininc_epi","uf","ano_ini","ano_fim","pop_cat"
"2718",3502408,0.478050098607197,0.87388995980361,43.2845066662469,6,"[44-14]",6,"[2.93564356435644-9.34210526315789]",4144,120.656370656371,120.656370656371,241.312741312741,120.656370656371,120.656370656371,241.312741312741,"SP",2010,2021,"(1e+03,1e+04]"
"2719",3502507,2.0562677247752,1.25643703275679,41.9034312144311,8,"[44-14]",11,"[4.68372093023256-12]",36185,13.8178803371563,13.8178803371563,41.9034312144311,13.8178803371563,13.8178803371563,27.6357606743126,"SP",2010,2021,"(1e+04,1e+05]"
"2720",3502606,0.87193654941848,1.62779461535309,73.7241408927604,8,"[49-22]",6,"[3.45581395348837-8]",4158,120.25012025012,120.25012025012,240.500240500241,120.25012025012,120.25012025012,240.500240500241,"SP",2010,2021,"(1e+03,1e+04]"
"2721",3502903,1.36774897401097,1.22489401611864,25.442168111867,6,"[42-10]",11,"[4.36744186046512-12]",34776,14.3777317690361,14.3777317690361,40.2576489533011,14.3777317690361,14.3777317690361,28.7554635380722,"SP",2010,2021,"(1e+04,1e+05]"
"2722",3503000,1.52321835519187,0.394993252601036,57.6955534612147,4,"[47-9]",5,"[3-12.3421052631579]",5655,88.4173297966401,88.4173297966401,176.83465959328,88.4173297966401,88.4173297966401,176.83465959328,"SP",2010,2021,"(1e+03,1e+04]"
"2723",3534005,2.5374054550007,2.13776023236398,144.830503105413,8,"[49-14]",9,"[4.45581395348837-13]",4422,113.071008593397,113.071008593397,226.142017186793,113.071008593397,113.071008593397,226.142017186793,"SP",2010,2021,"(1e+03,1e+04]"
"2724",3503109,0.167318143857464,0.117743920191304,13.1967241625565,12,"[44-17]",6,"[3.73333333333333-6]",6365,78.5545954438335,78.5545954438335,157.109190887667,78.5545954438335,78.5545954438335,157.109190887667,"SP",2010,2021,"(1e+03,1e+04]"
"2725",3503158,0.890954212877581,0,82.6049923482925,12,"[8-12]",6,"[3-8]",2460,203.252032520325,203.252032520325,406.50406504065,203.252032520325,203.252032520325,406.50406504065,"SP",2010,2021,"(1e+03,1e+04]"
"2726",3503208,2.75155351839015,3.20773183409155,27.4281135349772,6,"[41-11]",11,"[8.22790697674419-14.7720930232558]",238339,2.75155351839015,3.20773183409155,27.4281135349772,2.09785221889829,2.09785221889829,4.19570443779658,"SP",2010,2021,"(1e+05,1e+06]"
"2727",3503307,2.25588507931636,1.91086781309126,24.9571720841251,9,"[44-14]",12,"[11-12.7720930232558]",135506,3.68987351113604,3.68987351113604,24.9571720841251,3.68987351113604,3.68987351113604,7.37974702227208,"SP",2010,2021,"(1e+05,1e+06]"
