"","nome","pre","pos","veryhigh","inicio","inicio.ic","duracao","duracao.ic","quant_pre","quant_pos","quant_epidemico","mininc_pre","mininc_pos","mininc_epi","ano_inicio","ano_fim","populacao","cid10","uf","regional_id"
"133","6ª Região",1.2779838748349,3.9605714385194,19.8407576182606,15,"[8-20]",14,"[9.63063063063063-14.6846846846847]",2.09582971802707,2.09582971802707,49.4825396426191,2.09582971802707,2.09582971802707,4.19165943605414,2010,2022,238569,"A90","PB",25006
"134","15ª Região",2.94377128573407,4.65629470475314,25.0483264659566,16,"[6-21]",14,"[8.97297297297298-16.027027027027]",3.30176842716959,3.30176842716959,59.8280439003129,3.30176842716959,3.30176842716959,6.60353685433918,2010,2022,151434,"A90","PB",25015
"135","16ª Região",1.95215938305319,4.89390633749576,10.978624087882,18,"[11-22]",14,"[10.2882882882883-14.3423423423423]",0.903649297322306,0.903649297322306,19.6001532589208,0.903649297322306,0.903649297322306,1.80729859464461,2010,2022,553312,"A90","PB",25016
"136","14ª Região",0.542288865487838,1.84462973514282,10.9388415074915,12,"[9-22]",8,"[5-11.027027027027]",3.26321766314457,3.26321766314457,14.3581577178361,3.26321766314457,3.26321766314457,6.52643532628913,2010,2022,153223,"A90","PB",25014
"137","9ª Região",2.09365870606852,5.43425027911361,25.6328168788293,18,"[8-20]",12,"[5-13]",2.8073485154741,2.8073485154741,40.4258186228271,2.8073485154741,2.8073485154741,5.61469703094821,2010,2022,178104,"A90","PB",25009
"138","8ª Região",2.04188560401655,4.36455223143324,33.495555261367,18,"[12-26]",9,"[7.65765765765766-12.3423423423423]",4.20076285853511,4.20076285853511,61.877236906222,4.20076285853511,4.20076285853511,8.40152571707022,2010,2022,119026,"A90","PB",25008
"139","12ª Região",1.01558846012663,1.00480403304245,15.7725535126426,16,"[50-20]",9,"[4.31531531531532-12.3423423423423]",2.83491710702379,2.83491710702379,19.8444197491665,2.83491710702379,2.83491710702379,5.66983421404758,2010,2022,176372,"A90","PB",25012
"140","13ª Região",0.462476315151528,1.10690264496943,19.4473425998651,11,"[9-15]",10,"[5-13.3423423423423]",8.23696089090969,8.23696089090969,34.5952357418207,8.23696089090969,8.23696089090969,16.4739217818194,2010,2022,60702,"A90","PB",25013
"141","Arcoverde",1.9855440284365,3.93546926429635,15.4853033482922,16,"[10-17]",8,"[6.65765765765766-12]",1.16621883863263,1.16621883863263,31.2896514405135,1.16621883863263,1.16621883863263,2.33243767726526,2010,2022,428736,"A90","PE",26002
"142","Salgueiro",3.0922373059327,6.17035565929467,48.0205974446492,15,"[9-22]",12,"[7.97297297297298-14.6846846846847]",3.37165784416197,3.37165784416197,105.398024208503,3.37165784416197,3.37165784416197,6.74331568832395,2010,2022,148295,"A90","PE",26011
"143","Caruaru",4.41493637901831,7.34700821019831,26.6531095294288,16,"[11-19]",12,"[10-13.3423423423423]",1.58440028288747,1.58440028288747,54.1972924039529,0.360090973383516,0.360090973383516,0.720181946767031,2010,2022,1388538,"A90","PE",26003
"144","Serra Talhada",1.13801579486975,1.62217916560737,16.833374930563,11,"[9-16]",11,"[5.31531531531532-15]",2.07353587631773,2.07353587631773,36.5564374994816,2.07353587631773,2.07353587631773,4.14707175263546,2010,2022,241134,"A90","PE",26012
"145","Garanhuns",2.56227503475115,3.12373946731275,17.666952223016,14,"[12-21]",12,"[8.97297297297298-13.3423423423423]",0.913829530584047,0.913829530584047,29.0597790725727,0.913829530584047,0.913829530584047,1.82765906116809,2010,2022,547148,"A90","PE",26004
"146","Afogados da Ingazeira",3.47391610007178,5.6596707978272,30.7211689571639,12,"[7-18]",13,"[12-16.3423423423423]",2.72114767124182,2.72114767124182,98.1245850249801,2.72114767124182,2.72114767124182,5.44229534248365,2010,2022,183746,"A90","PE",26001
