"nid","probRt1","n","terminal","regra","uf","regional","nRt1"
6,0.0869565217391304,46,1,"inc_3 <= 6.00084011761647 & temp_min_1 > 21.6","SP","Jundiaí",4
10,0.0657894736842105,76,1,"inc_3 > 6.00084011761647 & temp_min_1 > 17.4 & temp_max_3 <= 27.3","SP","Jundiaí",5
5,0.0166147455867082,963,1,"inc_3 <= 6.00084011761647 & temp_min_1 <= 21.6 & inc_3 > 0.236403266147525","SP","Jundiaí",16
8,0.00579710144927536,345,1,"inc_3 > 6.00084011761647 & temp_min_1 <= 17.4","SP","Jundiaí",2
4,0.00177053824362606,2824,1,"inc_3 <= 6.00084011761647 & temp_min_1 <= 21.6 & inc_3 <= 0.236403266147525","SP","Jundiaí",5
11,0.275700934579439,214,1,"inc_3 > 14.8875986303409 & temp_min_1 > 17.3","SP","Alto Vale do Paraíba",59
8,0.0952380952380952,315,1,"inc_3 <= 14.8875986303409 & inc_3 > 0.137035671755715 & temp_min_1 > 18.7","SP","Alto Vale do Paraíba",30
10,0.0521739130434783,230,1,"inc_3 > 14.8875986303409 & temp_min_1 <= 17.3","SP","Alto Vale do Paraíba",12
5,0.0221130221130221,407,1,"inc_3 <= 14.8875986303409 & inc_3 <= 0.137035671755715 & temp_min_2 > 20.2","SP","Alto Vale do Paraíba",9
7,0.0192307692307692,624,1,"inc_3 <= 14.8875986303409 & inc_3 > 0.137035671755715 & temp_min_1 <= 18.7","SP","Alto Vale do Paraíba",12
4,0.00135135135135135,2960,1,"inc_3 <= 14.8875986303409 & inc_3 <= 0.137035671755715 & temp_min_2 <= 20.2","SP","Alto Vale do Paraíba",4
13,0.473684210526316,19,1,"inc_3 > 19.6592398427261 & temp_min_1 > 19.7","SP","Rio Pardo",9
8,0.181818181818182,22,1,"inc_3 <= 19.6592398427261 & inc_3 > 6.55307994757536 & temp_min_1 > 19.6","SP","Rio Pardo",4
12,0.133333333333333,90,1,"inc_3 > 19.6592398427261 & temp_min_1 <= 19.7 & temp_min_1 > 15","SP","Rio Pardo",12
5,0.0526315789473684,57,1,"inc_3 <= 19.6592398427261 & inc_3 <= 6.55307994757536 & temp_max_3 > 33.2","SP","Rio Pardo",3
7,0.0232558139534884,215,1,"inc_3 <= 19.6592398427261 & inc_3 > 6.55307994757536 & temp_min_1 <= 19.6","SP","Rio Pardo",5
4,0.00115975645114526,3449,1,"inc_3 <= 19.6592398427261 & inc_3 <= 6.55307994757536 & temp_max_3 <= 33.2","SP","Rio Pardo",4
11,0,102,1,"inc_3 > 19.6592398427261 & temp_min_1 <= 19.7 & temp_min_1 <= 15","SP","Rio Pardo",0
13,0.222222222222222,54,1,"umid_max_2 > 79.6 & temp_min_2 > 22.6 & temp_max_1 > 31","SP","Lins",12
5,0.0810810810810811,37,1,"umid_max_2 <= 79.6 & umid_max_1 <= 88.2 & temp_max_2 > 34.4","SP","Lins",3
12,0.0457516339869281,306,1,"umid_max_2 > 79.6 & temp_min_2 > 22.6 & temp_max_1 <= 31","SP","Lins",14
6,0.037037037037037,162,1,"umid_max_2 <= 79.6 & umid_max_1 > 88.2","SP","Lins",6
10,0.0289330922242315,553,1,"umid_max_2 > 79.6 & temp_min_2 <= 22.6 & umid_max_2 > 88.3","SP","Lins",16
9,0.0038961038961039,770,1,"umid_max_2 > 79.6 & temp_min_2 <= 22.6 & umid_max_2 <= 88.3","SP","Lins",3
4,0.00311769290724864,2566,1,"umid_max_2 <= 79.6 & umid_max_1 <= 88.2 & temp_max_2 <= 34.4","SP","Lins",8
7,0.0818858560794045,403,1,"temp_max_3 > 26 & temp_min_3 > 19.7","SP","Franco da Rocha",33
6,0.0646766169154229,201,1,"temp_max_3 > 26 & temp_min_3 <= 19.7 & umid_min_3 > 48.4","SP","Franco da Rocha",13
5,0.00801603206412826,499,1,"temp_max_3 > 26 & temp_min_3 <= 19.7 & umid_min_3 <= 48.4","SP","Franco da Rocha",4
2,0.002909796314258,2062,1,"temp_max_3 <= 26","SP","Franco da Rocha",6
9,0.227272727272727,66,1,"inc_3 > 6.75843114285071 & temp_max_1 > 27.9 & umid_max_1 > 90.1","SP","Extremo Oeste Paulista",15
8,0.0549450549450549,182,1,"inc_3 > 6.75843114285071 & temp_max_1 > 27.9 & umid_max_1 <= 90.1","SP","Extremo Oeste Paulista",10
4,0.0124575311438279,883,1,"inc_3 <= 6.75843114285071 & temp_min_2 > 21","SP","Extremo Oeste Paulista",11
6,0.0104895104895105,286,1,"inc_3 > 6.75843114285071 & temp_max_1 <= 27.9","SP","Extremo Oeste Paulista",3
3,0,1390,1,"inc_3 <= 6.75843114285071 & temp_min_2 <= 21","SP","Extremo Oeste Paulista",0
11,0.191891891891892,370,1,"inc_3 > 4.71824229746945 & temp_min_2 > 18.7","SP","Vale do Paraíba/Reg. Serrana",71
8,0.114285714285714,70,1,"inc_3 <= 4.71824229746945 & inc_3 > 0.314549486497963 & temp_min_1 > 19.9","SP","Vale do Paraíba/Reg. Serrana",8
10,0.0272108843537415,588,1,"inc_3 > 4.71824229746945 & temp_min_2 <= 18.7","SP","Vale do Paraíba/Reg. Serrana",16
7,0.0136518771331058,293,1,"inc_3 <= 4.71824229746945 & inc_3 > 0.314549486497963 & temp_min_1 <= 19.9","SP","Vale do Paraíba/Reg. Serrana",4
5,0.0128410914927769,623,1,"inc_3 <= 4.71824229746945 & inc_3 <= 0.314549486497963 & temp_min_2 > 20.1","SP","Vale do Paraíba/Reg. Serrana",8
4,0.000807319698600646,3716,1,"inc_3 <= 4.71824229746945 & inc_3 <= 0.314549486497963 & temp_min_2 <= 20.1","SP","Vale do Paraíba/Reg. Serrana",3
5,0.141592920353982,113,1,"inc_3 > 5.22976082560491 & umid_max_1 > 85.5","SP","Norte do DRS III",16
4,0.0287769784172662,278,1,"inc_3 > 5.22976082560491 & umid_max_1 <= 85.5","SP","Norte do DRS III",8
2,0.00155159038013964,1289,1,"inc_3 <= 5.22976082560491","SP","Norte do DRS III",2
8,0.260869565217391,23,1,"temp_min_1 > 19.2 & temp_max_2 <= 26.8 & temp_max_1 > 30.3","SP","Litoral Norte",6
9,0.198329853862213,479,1,"temp_min_1 > 19.2 & temp_max_2 > 26.8","SP","Litoral Norte",95
4,0.0875912408759124,274,1,"temp_min_1 <= 19.2 & temp_min_2 > 18.5","SP","Litoral Norte",24
7,0.0518731988472622,347,1,"temp_min_1 > 19.2 & temp_max_2 <= 26.8 & temp_max_1 <= 30.3","SP","Litoral Norte",18
3,0.0223880597014925,1206,1,"temp_min_1 <= 19.2 & temp_min_2 <= 18.5","SP","Litoral Norte",27
12,0.385826771653543,127,1,"temp_min_3 > 17.6 & inc_3 > 14.1183114499506 & umid_max_3 <= 97.5","SP","Limeira",49
6,0.2,15,1,"temp_min_3 <= 17.6 & inc_3 > 45.0593551649691 & temp_min_1 > 17","SP","Limeira",3
13,0.161290322580645,93,1,"temp_min_3 > 17.6 & inc_3 > 14.1183114499506 & umid_max_3 > 97.5","SP","Limeira",15
10,0.117647058823529,119,1,"temp_min_3 > 17.6 & inc_3 <= 14.1183114499506 & inc_3 > 4.7061038166502","SP","Limeira",14
9,0.0196374622356495,662,1,"temp_min_3 > 17.6 & inc_3 <= 14.1183114499506 & inc_3 <= 4.7061038166502","SP","Limeira",13
5,0.0103092783505155,97,1,"temp_min_3 <= 17.6 & inc_3 > 45.0593551649691 & temp_min_1 <= 17","SP","Limeira",1
3,0.00529100529100529,1323,1,"temp_min_3 <= 17.6 & inc_3 <= 45.0593551649691","SP","Limeira",7
13,0.59375,32,1,"inc_3 > 7.88618655562916 & temp_min_1 > 19.7","SP","Mananciais",19
12,0.181818181818182,44,1,"inc_3 > 7.88618655562916 & temp_min_1 <= 19.7 & temp_min_1 > 18.3","SP","Mananciais",8
8,0.145161290322581,62,1,"inc_3 <= 7.88618655562916 & inc_3 > 2.38377399098252 & temp_max_2 > 27.9","SP","Mananciais",9
7,0.0176991150442478,226,1,"inc_3 <= 7.88618655562916 & inc_3 > 2.38377399098252 & temp_max_2 <= 27.9","SP","Mananciais",4
5,0.00917431192660551,872,1,"inc_3 <= 7.88618655562916 & inc_3 <= 2.38377399098252 & inc_3 > 0","SP","Mananciais",8
4,0.000823497117760088,3643,1,"inc_3 <= 7.88618655562916 & inc_3 <= 2.38377399098252 & inc_3 <= 0","SP","Mananciais",3
11,0,125,1,"inc_3 > 7.88618655562916 & temp_min_1 <= 19.7 & temp_min_1 <= 18.3","SP","Mananciais",0
13,0.275675675675676,185,1,"inc_3 > 13.4864608576546 & temp_min_1 > 22.3","SP","Aquífero Guarani",51
12,0.162650602409639,166,1,"inc_3 > 13.4864608576546 & temp_min_1 <= 22.3 & temp_max_3 > 29.6","SP","Aquífero Guarani",27
8,0.0564516129032258,248,1,"inc_3 <= 13.4864608576546 & inc_3 > 0 & temp_min_3 > 22.6","SP","Aquífero Guarani",14
5,0.0357142857142857,84,1,"inc_3 <= 13.4864608576546 & inc_3 <= 0 & temp_min_2 > 25.3","SP","Aquífero Guarani",3
11,0.0251046025104603,478,1,"inc_3 > 13.4864608576546 & temp_min_1 <= 22.3 & temp_max_3 <= 29.6","SP","Aquífero Guarani",12
7,0.0142045454545455,704,1,"inc_3 <= 13.4864608576546 & inc_3 > 0 & temp_min_3 <= 22.6","SP","Aquífero Guarani",10
4,0.00332115576220525,3011,1,"inc_3 <= 13.4864608576546 & inc_3 <= 0 & temp_min_2 <= 25.3","SP","Aquífero Guarani",10
3,0.0153894472361809,3184,1,"temp_min_3 > 19.2","SP","Três Colinas",49
2,0.000388198757763975,2576,1,"temp_min_3 <= 19.2","SP","Três Colinas",1
11,0.583333333333333,12,1,"temp_max_2 > 34.6 & temp_max_3 > 33.4","SP","Coração do DRS III",7
8,0.0583941605839416,274,1,"temp_max_2 <= 34.6 & temp_min_1 > 22.1 & umid_max_3 > 87.2","SP","Coração do DRS III",16
5,0.0294117647058824,68,1,"temp_max_2 <= 34.6 & temp_min_1 <= 22.1 & umid_min_1 > 77.8","SP","Coração do DRS III",2
7,0.0176056338028169,1136,1,"temp_max_2 <= 34.6 & temp_min_1 > 22.1 & umid_max_3 <= 87.2","SP","Coração do DRS III",20
4,0.00143988480921526,1389,1,"temp_max_2 <= 34.6 & temp_min_1 <= 22.1 & umid_min_1 <= 77.8","SP","Coração do DRS III",2
10,0,19,1,"temp_max_2 > 34.6 & temp_max_3 <= 33.4","SP","Coração do DRS III",0
11,0.658536585365854,41,1,"inc_3 > 4.57464151445587 & temp_max_1 > 25.7 & temp_max_3 > 27.4","SP","Grande ABC",27
10,0.213114754098361,61,1,"inc_3 > 4.57464151445587 & temp_max_1 > 25.7 & temp_max_3 <= 27.4","SP","Grande ABC",13
6,0.078125,192,1,"inc_3 <= 4.57464151445587 & temp_min_2 > 17.2 & inc_3 > 2.1314816284046","SP","Grande ABC",15
8,0.0269058295964126,223,1,"inc_3 > 4.57464151445587 & temp_max_1 <= 25.7","SP","Grande ABC",6
5,0.0161290322580645,1860,1,"inc_3 <= 4.57464151445587 & temp_min_2 > 17.2 & inc_3 <= 2.1314816284046","SP","Grande ABC",30
3,0.00144300144300144,2079,1,"inc_3 <= 4.57464151445587 & temp_min_2 <= 17.2","SP","Grande ABC",3
11,0.176100628930818,318,1,"temp_min_2 > 21.8 & umid_max_2 > 74.2 & inc_3 > 31.8857215738792","SP","Alta Paulista",56
6,0.122448979591837,49,1,"temp_min_2 <= 21.8 & temp_min_1 > 23.4 & umid_min_1 > 60.7","SP","Alta Paulista",6
10,0.0252252252252252,1110,1,"temp_min_2 > 21.8 & umid_max_2 > 74.2 & inc_3 <= 31.8857215738792","SP","Alta Paulista",28
8,0.0158201498751041,1201,1,"temp_min_2 > 21.8 & umid_max_2 <= 74.2","SP","Alta Paulista",19
3,0.00120882441825325,3309,1,"temp_min_2 <= 21.8 & temp_min_1 <= 23.4","SP","Alta Paulista",4
5,0,169,1,"temp_min_2 <= 21.8 & temp_min_1 > 23.4 & umid_min_1 <= 60.7","SP","Alta Paulista",0
5,0.285714285714286,7,1,"temp_min_2 <= 22.3 & inc_3 > 417.49691621596 & umid_max_2 <= 67","SP","Fernandópolis",2
9,0.0743494423791822,807,1,"temp_min_2 > 22.3 & inc_3 > 4.32264199878966","SP","Fernandópolis",60
6,0.0138888888888889,72,1,"temp_min_2 <= 22.3 & inc_3 > 417.49691621596 & umid_max_2 > 67","SP","Fernandópolis",1
8,0.0114140773620799,1577,1,"temp_min_2 > 22.3 & inc_3 <= 4.32264199878966","SP","Fernandópolis",18
3,0.00237755587256301,4206,1,"temp_min_2 <= 22.3 & inc_3 <= 417.49691621596","SP","Fernandópolis",10
11,0.300970873786408,103,1,"inc_3 > 85.7908847184987 & temp_min_1 > 19.1","SP","Pontal do Paranapanema",31
8,0.135802469135802,81,1,"inc_3 <= 85.7908847184987 & inc_3 > 10.9063147562439 & temp_min_3 > 21.3","SP","Pontal do Paranapanema",11
5,0.037037037037037,135,1,"inc_3 <= 85.7908847184987 & inc_3 <= 10.9063147562439 & umid_max_1 > 98.2","SP","Pontal do Paranapanema",5
10,0.0194805194805195,154,1,"inc_3 > 85.7908847184987 & temp_min_1 <= 19.1","SP","Pontal do Paranapanema",3
