"SE","APS","casos","tweets","temp","Rt","casos_est","Rt_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201409,"AP5.1",2,77,24.4285714285714,1.2,2.30294229636085,1.15147114818043,22,973.588077058296,1,1,0
201410,"AP5.1",0,75,23.4285714285714,0.666666666666667,2.27716014093029,1.13858007046514,22,973.588077058296,1,1,0
201411,"AP5.1",1,66,23.8571428571429,0.75,0,1.08256733841242,22,973.588077058296,1,1,0
201412,"AP5.1",3,92,23.7142857142857,1.33333333333333,1.19611056119386,1.19611056119386,22,973.588077058296,1,1,0
201413,"AP5.1",8,63,21.8571428571429,3,3.11506394758176,1.03835464919392,22,973.588077058296,1,0,0
201414,"AP5.1",7,65,22.7142857142857,1.5,7.94865225085127,0.993581531356409,22,973.588077058296,0,1,0
201415,"AP5.1",11,76,21.5714285714286,1.44444444444444,7.50952606855421,1.07278943836489,22,973.588077058296,1,0,0
201416,"AP5.1",3,62,22.1428571428571,0.807692307692308,11.5330179293917,1.04845617539924,22,973.588077058296,1,1,0
201417,"AP5.1",3,64,21.5714285714286,0.80952380952381,3.00469599742551,1.00156533247517,22,973.588077058296,1,0,0
201418,"AP5.1",5,105,17.2857142857143,0.647058823529412,2.48182607010565,0.827275356701884,22,973.588077058296,0,0,0
201419,"AP5.1",3,159,20.1428571428571,1,5.50073338371102,1.1001466767422,22,973.588077058296,1,0,0
201420,"AP5.1",1,105,17,0.818181818181818,2.54140086517647,0.847133621725489,22,973.588077058296,0,0,0
201421,"AP5.1",2,41,20,0.666666666666667,0.878246646673508,0.878246646673508,22,973.588077058296,0,0,0
201422,"AP5.1",4,80,18.4285714285714,1.16666666666667,1.80004478991969,0.900022394959843,22,973.588077058296,0,0,0
201423,"AP5.1",4,54,18.7142857142857,1.42857142857143,3.697084676772,0.924271169193,22,973.588077058296,0,0,0
201105,"AP5.2",106,108,24.8571428571429,1.38926174496644,90.2807494738542,1.38893460729007,22,558.973622885758,1,1,0
201106,"AP5.2",171,203,24.7142857142857,1.65217391304348,178.582781385272,1.68474322061577,22,558.973622885758,1,1,0
201107,"AP5.2",130,218,24.2857142857143,1.19005847953216,230.088665556281,1.34554775179112,22,558.973622885758,1,1,0
201108,"AP5.2",151,248,24.4285714285714,1.11056511056511,149.666813606594,1.15128318158918,22,558.973622885758,1,1,0
201109,"AP5.2",130,251,23,0.90929203539823,161.613237287038,1.07028633964926,22,558.973622885758,1,1,0
201110,"AP5.2",141,196,22.7142857142857,1.02676399026764,123.052565901776,0.946558199244431,22,558.973622885758,0,1,0
201111,"AP5.2",355,324,23.1428571428571,1.48341232227488,160.663783948676,1.13945946062891,22,558.973622885758,1,1,0
201112,"AP5.2",704,695,22.7142857142857,1.91693290734824,580.886671133428,1.636300482066,22,558.973622885758,1,1,1
201113,"AP5.2",851,800,23.4285714285714,1.59166666666667,965.699667692912,1.37173248251834,22,558.973622885758,1,1,1
201114,"AP5.2",918,789,22.1428571428571,1.29476439790576,880.663560558798,1.03485729795393,22,558.973622885758,1,1,1
201115,"AP5.2",1013,808,23.1428571428571,1.12494945410433,945.412568135656,1.02986118533296,22,558.973622885758,1,1,1
201116,"AP5.2",842,639,22.4285714285714,0.996764917325665,960.139078111321,0.947817451245134,22,558.973622885758,0,1,1
201117,"AP5.2",953,621,20.7142857142857,1.01262170934006,757.585775976174,0.899745577168853,22,558.973622885758,0,0,1
201118,"AP5.2",745,526,20.7142857142857,0.904558404558405,874.140540073337,0.9172513536971,22,558.973622885758,0,0,1
201119,"AP5.2",594,671,20.1428571428571,0.902362204724409,713.220352929357,0.957342755609875,22,558.973622885758,0,0,1
201120,"AP5.2",467,450,17.7142857142857,0.787958115183246,512.428228903704,0.862673786033172,22,558.973622885758,0,0,0
201121,"AP5.2",367,289,17,0.790697674418605,387.67347713232,0.830135925336875,22,558.973622885758,0,0,0
201122,"AP5.2",325,244,18,0.811624649859944,306.005275301179,0.833801840057709,22,558.973622885758,0,0,0
201123,"AP5.2",195,159,15.7142857142857,0.765314926660915,270.2381348654,0.831501953432001,22,558.973622885758,0,0,0
201124,"AP5.2",141,152,16,0.745208568207441,162.208828866645,0.831840148034076,22,558.973622885758,0,0,0
201125,"AP5.2",70,130,17.5714285714286,0.614220877458396,120.692142775139,0.855972643795311,22,558.973622885758,0,0,0
201126,"AP5.2",63,174,17,0.67487684729064,59.883894953435,0.855484213620501,22,558.973622885758,0,0,0
201127,"AP5.2",31,109,15.5714285714286,0.598540145985402,51.4012196531062,0.81589237544613,22,558.973622885758,0,0,0
201128,"AP5.2",30,89,15.5714285714286,0.75609756097561,25.9123203878628,0.835881302834283,22,558.973622885758,0,0,0
201129,"AP5.2",33,95,18.8571428571429,0.758064516129032,26.5819887778151,0.886066292593837,22,558.973622885758,0,0,0
201130,"AP5.2",24,76,16.5714285714286,0.925531914893617,27.6324987784659,0.837348447832301,22,558.973622885758,0,0,0
201131,"AP5.2",26,56,17.8571428571429,0.954022988505747,20.1924331370305,0.841351380709606,22,558.973622885758,0,0,0
201132,"AP5.2",20,57,18.4285714285714,0.843373493975904,22.4051563333587,0.861736782052257,22,558.973622885758,0,0,0
201133,"AP5.2",22,75,19.1428571428571,0.971428571428571,19.1852895826663,0.959264479133314,22,558.973622885758,0,0,0
201134,"AP5.2",16,43,18.4285714285714,0.852941176470588,19.1311149288564,0.869596133129835,22,558.973622885758,0,0,0
201135,"AP5.2",19,91,17.8571428571429,0.982758620689655,14.3268709801821,0.895429436261382,22,558.973622885758,0,0,0
201136,"AP5.2",17,58,17,0.912280701754386,16.2932166225388,0.857537716975724,22,558.973622885758,0,0,0
201137,"AP5.2",18,59,18.7142857142857,1.03846153846154,14.4312510456639,0.848897120333169,22,558.973622885758,0,0,0
201138,"AP5.2",32,42,18,1.24074074074074,15.4260906683267,0.857005037129263,22,558.973622885758,0,0,0
201139,"AP5.2",38,54,18.2857142857143,1.3134328358209,28.095173913544,0.877974184798251,22,558.973622885758,0,0,0
201140,"AP5.2",27,68,20.2857142857143,1.10227272727273,39.9999574587242,1.05263045944011,22,558.973622885758,1,0,0
201141,"AP5.2",35,61,21.8571428571429,1.03092783505155,27.5875373303587,1.02176064186514,22,558.973622885758,1,0,0
201142,"AP5.2",28,88,18,0.9,31.6639224710305,0.904683499172299,22,558.973622885758,0,0,0
201143,"AP5.2",47,101,20.7142857142857,1.22222222222222,30.1215818992975,1.07577078211777,22,558.973622885758,1,0,0
201144,"AP5.2",36,81,17.7142857142857,1.00909090909091,40.7122913747933,0.866218965421133,22,558.973622885758,0,0,0
