"SE","casos","tweets","temp","Rt","temp.1","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201136,108,58,17,0.946308724832215,17,22,4371.4914478357,0,0,0
201137,98,59,18.7142857142857,1.02127659574468,18.7142857142857,22,4371.4914478357,0,0,0
201138,162,42,18,1.27777777777778,18,22,4371.4914478357,0,0,0
201139,175,54,18.2857142857143,1.1820652173913,18.2857142857143,22,4371.4914478357,0,0,0
201140,173,68,20.2857142857143,1.17241379310345,20.2857142857143,22,4371.4914478357,1,0,0
201141,194,61,21.8571428571429,1.06274509803922,21.8571428571429,22,4371.4914478357,1,0,0
201142,179,88,18,1.00738007380074,18,22,4371.4914478357,0,0,0
201143,232,101,20.7142857142857,1.10805860805861,20.7142857142857,22,4371.4914478357,1,0,0
201144,218,81,17.7142857142857,1.0396694214876,17.7142857142857,22,4371.4914478357,0,0,0
201145,304,82,20.1428571428571,1.19872813990461,20.1428571428571,22,4371.4914478357,0,0,0
201146,252,85,20.7142857142857,1.02652519893899,20.7142857142857,22,4371.4914478357,0,0,0
201147,401,71,20.7142857142857,1.23643410852713,20.7142857142857,22,4371.4914478357,0,0,0
201148,418,97,21.2857142857143,1.11912225705329,21.2857142857143,22,4371.4914478357,1,0,0
201149,502,78,22.4285714285714,1.23342670401494,22.4285714285714,22,4371.4914478357,1,1,0
201150,581,98,22.4285714285714,1.13626040878123,22.4285714285714,22,4371.4914478357,1,1,0
201151,512,107,23,1.06262491672219,23,22,4371.4914478357,1,1,0
201152,535,61,22.1428571428571,1.02068965517241,22.1428571428571,22,4371.4914478357,0,1,0
201201,861,140,21.8571428571429,1.17199017199017,21.8571428571429,22,4371.4914478357,1,0,0
201202,978,102,22.8571428571429,1.24423480083857,22.8571428571429,22,4371.4914478357,1,1,0
201203,1280,125,23.5714285714286,1.31381634372367,23.5714285714286,22,4371.4914478357,1,1,0
201204,1459,77,22.7142857142857,1.19172811798653,22.7142857142857,22,4371.4914478357,1,1,0
