"APS","SE","tweets","estacao","casos","temp.min","temp.max","umid.min","umid.max","Pop2010","Cli","Rtw","ptw1","Rtwlr","Rtwur","twgreat1","ac.twgreat1","Rt","pRt1","Rtlr","Rtur","pRti","Rti","Rtgreat1","ac.Rtgreat1","casos_est","inc","alertaCasos"
"AP1",201036,NA,"galeao",4,18,24.7142857142857,55.5714285714286,89.8571428571429,226963,0,NA,NA,NA,NA,NA,NA,1.16666666666667,0.61279296875,0.385268528705841,2.59559223110984,0.61279296875,NA,0,0,4,1.76240180117464,0
"AP1",201037,NA,"galeao",2,18.2857142857143,29.4285714285714,42.7142857142857,88.2857142857143,226963,0,NA,NA,NA,NA,NA,NA,1.14285714285714,0.604736328125,0.405764403123737,2.46448429754212,0.604736328125,NA,0,0,2,0.88120090058732,0
"AP1",201038,NA,"galeao",2,18.8571428571429,28.1428571428571,47.7142857142857,89.2857142857143,226963,0,NA,NA,NA,NA,NA,NA,1,0.5,0.373546846699366,2.17180259333554,0.5,NA,0,0,2,0.88120090058732,0
"AP1",201039,NA,"galeao",0,21.1428571428571,26.2857142857143,67,91.5714285714286,226963,0,NA,NA,NA,NA,NA,NA,0.5,0.11328125,0.179222581706385,1.41908544107169,0.11328125,NA,0,0,0,0,0
"AP1",201040,NA,"galeao",2,19.7142857142857,26.4285714285714,56,87,226963,0,NA,NA,NA,NA,NA,NA,1,0.5,0.267338197624807,2.61441839041594,0.5,NA,0,0,2,0.88120090058732,0
"AP1",201041,NA,"galeao",3,17.4285714285714,26.1428571428571,46.7142857142857,88.1428571428571,226963,0,NA,NA,NA,NA,NA,NA,1.25,0.63671875,0.335729600660811,2.97858752410188,0.63671875,NA,0,0,3,1.32180135088098,0
"AP1",201042,NA,"galeao",1,19.7142857142857,26.4285714285714,54.8571428571429,87.5714285714286,226963,0,NA,NA,NA,NA,NA,NA,1.2,0.623046875,0.362140511593323,2.76135910782327,0.623046875,NA,0,0,1,0.44060045029366,0
"AP1",201043,NA,"galeao",6,20.1428571428571,28,52.2857142857143,92.2857142857143,226963,0,NA,NA,NA,NA,NA,NA,1.66666666666667,0.84912109375,0.563825800047235,3.33692914187608,0.84912109375,NA,1,1,6,2.64360270176196,0
"AP1",201044,NA,"galeao",2,21,28.4285714285714,55.1428571428571,87.8571428571429,226963,0,NA,NA,NA,NA,NA,NA,0.9,0.407264709472656,0.366486455944996,1.89899937670228,0.407264709472656,NA,0,1,2,0.88120090058732,0
"AP1",201045,NA,"galeao",1,21,26.7142857142857,58.8571428571429,87.5714285714286,226963,0,NA,NA,NA,NA,NA,NA,1,0.5,0.393166142957291,2.10458006553556,0.5,NA,0,1,1,0.44060045029366,0
"AP1",201046,NA,"galeao",4,20,26.2857142857143,64,89.7142857142857,226963,0,NA,NA,NA,NA,NA,NA,0.777777777777778,0.303619384765625,0.299676725960619,1.77359744785752,0.303619384765625,NA,0,1,4,1.76240180117464,0
"AP1",201047,NA,"galeao",5,22.7142857142857,28.8571428571429,63.7142857142857,93.2857142857143,226963,1,NA,NA,NA,NA,NA,NA,1.42857142857143,0.772750854492188,0.515625284184161,2.88907386870148,0.772750854492188,NA,0,0,5,2.2030022514683,0
"AP1",201048,NA,"galeao",6,24.2857142857143,32.4285714285714,53.1428571428571,88,226963,2,NA,NA,NA,NA,NA,NA,1.5,0.846271872520447,0.637633583265619,2.78135732573189,0.846271872520447,NA,1,1,6,2.64360270176196,0
"AP1",201049,NA,"galeao",6,23.8571428571429,30.8571428571429,58,91.1428571428571,226963,3,NA,NA,NA,NA,NA,NA,1.13333333333333,0.639949934091419,0.550060278329975,2.03746593222923,0.639949934091419,NA,0,1,6,2.64360270176196,0
"AP1",201050,NA,"galeao",10,23.7142857142857,32.1428571428571,55.8571428571429,90.4285714285714,226963,3,NA,NA,NA,NA,NA,NA,1.29411764705882,0.791153904581734,0.663212353704065,2.20757625382516,0.791153904581734,NA,0,1,10,4.4060045029366,0
