"SE","APS","casos","tweets","temp","Rt","casos_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201030,"AP5.3",2,NA,18,1.16666666666667,NA,22,NA,0,0,NA
201031,"AP1",5,NA,18.2857142857143,1.3,NA,22,NA,0,0,NA
201031,"AP2.1",12,NA,18.2857142857143,1.07692307692308,NA,22,NA,0,0,NA
201031,"AP2.2",8,NA,18.2857142857143,2.75,NA,22,NA,1,0,NA
201031,"AP3.1",5,NA,18.2857142857143,1,NA,22,NA,0,0,NA
201031,"AP3.2",9,NA,18.2857142857143,1.33333333333333,NA,22,NA,1,0,NA
201031,"AP3.3",6,NA,18.2857142857143,0.88,NA,22,NA,0,0,NA
201031,"AP4",12,NA,18.2857142857143,1.22727272727273,NA,22,NA,0,0,NA
201031,"AP5.1",13,NA,18.2857142857143,1.15384615384615,NA,22,NA,0,0,NA
201031,"AP5.2",12,NA,18.2857142857143,1.28,NA,22,NA,1,0,NA
201031,"AP5.3",2,NA,18.2857142857143,0.714285714285714,NA,22,NA,0,0,NA
201032,"AP1",4,NA,17,1,NA,22,NA,0,0,NA
201032,"AP2.1",15,NA,17,1.04761904761905,NA,22,NA,0,0,NA
201032,"AP2.2",2,NA,17,1,NA,22,NA,0,0,NA
201032,"AP3.1",4,NA,17,1.06666666666667,NA,22,NA,0,0,NA
201032,"AP3.2",6,NA,17,1.08333333333333,NA,22,NA,0,0,NA
201032,"AP3.3",11,NA,17,1.31818181818182,NA,22,NA,1,0,NA
201032,"AP4",7,NA,17,0.925925925925926,NA,22,NA,0,0,NA
201032,"AP5.1",12,NA,17,1.23333333333333,NA,22,NA,1,0,NA
201032,"AP5.2",12,NA,17,1.25,NA,22,NA,1,0,NA
201032,"AP5.3",0,NA,17,0.8,NA,22,NA,0,0,NA
201033,"AP1",3,NA,14.1428571428571,0.923076923076923,NA,22,NA,0,0,NA
201033,"AP2.1",6,NA,14.1428571428571,0.75,NA,22,NA,0,0,NA
201033,"AP2.2",2,NA,14.1428571428571,1.09090909090909,NA,22,NA,0,0,NA
201033,"AP3.1",6,NA,14.1428571428571,0.9375,NA,22,NA,0,0,NA
201033,"AP3.2",3,NA,14.1428571428571,0.692307692307692,NA,22,NA,0,0,NA
201033,"AP3.3",4,NA,14.1428571428571,0.724137931034483,NA,22,NA,0,0,NA
201033,"AP4",8,NA,14.1428571428571,1.08,NA,22,NA,0,0,NA
201033,"AP5.1",3,NA,14.1428571428571,0.756756756756757,NA,22,NA,0,0,NA
201033,"AP5.2",14,NA,14.1428571428571,0.95,NA,22,NA,0,0,NA
201033,"AP5.3",0,NA,14.1428571428571,0.5,NA,22,NA,0,0,NA
201034,"AP1",1,NA,16.8571428571429,0.666666666666667,NA,22,NA,0,0,NA
201034,"AP2.1",9,NA,16.8571428571429,0.909090909090909,NA,22,NA,0,0,NA
201034,"AP2.2",4,NA,16.8571428571429,0.666666666666667,NA,22,NA,0,0,NA
201034,"AP3.1",2,NA,16.8571428571429,0.8,NA,22,NA,0,0,NA
201034,"AP3.2",8,NA,16.8571428571429,0.944444444444444,NA,22,NA,0,0,NA
201034,"AP3.3",11,NA,16.8571428571429,1.23809523809524,NA,22,NA,0,0,NA
201034,"AP4",9,NA,16.8571428571429,0.888888888888889,NA,22,NA,0,0,NA
201034,"AP5.1",3,NA,16.8571428571429,0.642857142857143,NA,22,NA,0,0,NA
201034,"AP5.2",6,NA,16.8571428571429,0.842105263157895,NA,22,NA,0,0,NA
201034,"AP5.3",0,NA,16.8571428571429,0,NA,22,NA,0,0,NA
201035,"AP1",2,NA,19.1428571428571,0.75,NA,22,NA,0,0,NA
201035,"AP2.1",14,NA,19.1428571428571,0.966666666666667,NA,22,NA,0,0,NA
201035,"AP2.2",3,NA,19.1428571428571,1.125,NA,22,NA,0,0,NA
201035,"AP3.1",3,NA,19.1428571428571,0.916666666666667,NA,22,NA,0,0,NA
201035,"AP3.2",1,NA,19.1428571428571,0.705882352941177,NA,22,NA,0,0,NA
201035,"AP3.3",1,NA,19.1428571428571,0.615384615384615,NA,22,NA,0,0,NA
201035,"AP4",2,NA,19.1428571428571,0.791666666666667,NA,22,NA,0,0,NA
