Belo Horizonte,MG,2013-06-09,88
Belo Horizonte,MG,2013-06-16,56
Belo Horizonte,MG,2013-06-23,35
Belo Horizonte,MG,2013-06-30,43
Belo Horizonte,MG,2013-07-07,26
Belo Horizonte,MG,2013-07-14,20
Belo Horizonte,MG,2013-07-21,21
Belo Horizonte,MG,2013-07-28,63
Belo Horizonte,MG,2013-08-04,71
Belo Horizonte,MG,2013-08-11,23
Belo Horizonte,MG,2013-08-18,23
Belo Horizonte,MG,2013-08-25,23
Belo Horizonte,MG,2013-09-01,23
Belo Horizonte,MG,2013-09-08,20
Belo Horizonte,MG,2013-09-15,33
Belo Horizonte,MG,2013-09-22,18
Belo Horizonte,MG,2013-09-29,27
Belo Horizonte,MG,2013-10-06,20
Belo Horizonte,MG,2013-10-13,18
Belo Horizonte,MG,2013-10-20,17
Belo Horizonte,MG,2013-10-27,14
Belo Horizonte,MG,2013-11-03,11
Belo Horizonte,MG,2013-11-10,14
Belo Horizonte,MG,2013-11-17,29
Belo Horizonte,MG,2013-11-24,18
Belo Horizonte,MG,2013-12-01,31
Curitiba,PR,2011-01-09,11
Curitiba,PR,2011-01-16,15
Curitiba,PR,2011-01-23,14
Curitiba,PR,2011-01-30,16
Curitiba,PR,2011-02-06,16
Curitiba,PR,2011-02-13,14
Curitiba,PR,2011-02-20,22
Curitiba,PR,2011-02-27,25
Curitiba,PR,2011-03-06,20
Curitiba,PR,2011-03-13,18
Curitiba,PR,2011-03-20,31
Curitiba,PR,2011-03-27,30
Curitiba,PR,2011-04-03,34
Curitiba,PR,2011-04-10,40
Curitiba,PR,2011-04-17,39
Curitiba,PR,2011-04-24,22
Curitiba,PR,2011-05-01,20
Curitiba,PR,2011-05-08,37
Curitiba,PR,2011-05-15,20
Curitiba,PR,2011-05-22,19
Curitiba,PR,2011-05-29,14
Curitiba,PR,2011-06-05,13
Curitiba,PR,2011-06-12,15
Curitiba,PR,2011-06-19,12
Curitiba,PR,2011-06-26,11
Curitiba,PR,2011-07-03,16
Curitiba,PR,2011-07-10,23
Curitiba,PR,2011-07-17,16
Curitiba,PR,2011-07-24,14
Curitiba,PR,2011-07-31,23
Curitiba,PR,2011-08-07,15
Curitiba,PR,2011-08-14,8
Curitiba,PR,2011-08-21,18
Curitiba,PR,2011-08-28,24
Curitiba,PR,2011-09-04,15
Curitiba,PR,2011-09-11,19
Curitiba,PR,2011-09-18,9
Curitiba,PR,2011-09-25,20
Curitiba,PR,2011-10-02,9
Curitiba,PR,2011-10-09,14
Curitiba,PR,2011-10-16,23
Curitiba,PR,2011-10-23,23
Curitiba,PR,2011-10-30,7
Curitiba,PR,2011-11-06,6
Curitiba,PR,2011-11-13,8
Curitiba,PR,2011-11-20,12
Curitiba,PR,2011-11-27,10
Curitiba,PR,2011-12-04,13
Curitiba,PR,2011-12-11,15
Curitiba,PR,2011-12-18,17
Curitiba,PR,2011-12-25,4
Curitiba,PR,2012-01-01,27
Curitiba,PR,2012-01-08,15
